epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1080.83,1.21218,1.17561,1.48305,0.70206,0.74242,0.71436,0.40571,1.51551,1.11491,1.61132,0.003466,0.003466,0.003466
35,1108.71,1.18269,1.19728,1.4958,0.72474,0.78082,0.73544,0.46236,1.44955,1.07994,1.60815,0.003268,0.003268,0.003268
36,1137.15,1.16103,1.11648,1.46452,0.7496,0.77916,0.76612,0.46862,1.40724,1.06342,1.52163,0.00307,0.00307,0.00307
37,1165.05,1.15194,1.14062,1.46384,0.70557,0.84475,0.72618,0.45974,1.31459,1.02291,1.50711,0.002872,0.002872,0.002872
38,1193.31,1.14545,1.13211,1.45631,0.70701,0.80435,0.71688,0.40678,1.56764,1.16083,1.62709,0.002674,0.002674,0.002674
39,1221.27,1.14852,1.12974,1.45879,0.70749,0.79909,0.74771,0.45746,1.35998,1.01337,1.51134,0.002476,0.002476,0.002476
40,1249.31,1.13074,1.10846,1.4521,0.74215,0.81279,0.77254,0.47578,1.34668,0.93273,1.46866,0.002278,0.002278,0.002278
41,1300.18,0.99653,0.89378,1.34275,0.71858,0.80452,0.75889,0.45932,1.41475,1.09674,1.55414,0.00208,0.00208,0.00208
42,1327.46,0.94331,0.81648,1.29443,0.77071,0.8288,0.7929,0.48075,1.4308,0.96611,1.56859,0.001882,0.001882,0.001882
43,1356.14,0.93022,0.81316,1.27702,0.74822,0.80822,0.75895,0.48732,1.32905,0.92493,1.46081,0.001684,0.001684,0.001684
44,1384.55,0.93745,0.79909,1.28712,0.76176,0.83223,0.78634,0.47862,1.4333,0.94654,1.50005,0.001486,0.001486,0.001486
45,1413.08,0.90069,0.77971,1.26263,0.76729,0.77169,0.764,0.47719,1.31779,0.93063,1.44229,0.001288,0.001288,0.001288
46,1441.71,0.91261,0.77135,1.26105,0.72414,0.87215,0.77699,0.47069,1.38938,0.92126,1.51085,0.00109,0.00109,0.00109
47,1470.24,0.88784,0.74898,1.23965,0.74909,0.84521,0.79938,0.52038,1.22263,0.86769,1.38679,0.000892,0.000892,0.000892
48,1498.91,0.87454,0.72522,1.23748,0.72108,0.84994,0.78576,0.51571,1.24045,0.91845,1.41123,0.000694,0.000694,0.000694
49,1527.4,0.87955,0.70713,1.22832,0.77542,0.81984,0.80739,0.52495,1.25443,0.87598,1.43085,0.000496,0.000496,0.000496
50,1556.25,0.84293,0.69905,1.21924,0.78196,0.83562,0.81068,0.53475,1.2519,0.8532,1.39009,0.000298,0.000298,0.000298
